Title	Authors
Better Safe Than Sorry? Overreaction Problem of Vision Language Models in Visual Emergency Recognition	Dasol Choi , Seunghyun Lee , Youngsook Song
FastHMR: Accelerating Human Mesh Recovery via Token and Layer Merging with Diffusion Decoding	Soroush Mehraban , Andrea Iaboni , Babak Taati
Latent Uncertainty-Aware Multi-View SDF Scan Completion	Faezeh Zakeri , Lukas Ruppert , Raphael Braun , Hendrik Lensch
SCALEX: Scalable Concept and Latent Exploration for Diffusion Models	Emily Zhixuan Zeng , Yuhao Chen , Alexander Wong
Gen-AFFECT: Generation of Avatar Fine-grained Facial Expressions with Consistent identiTy	Hao Yu , Rupayan Mallick , Margrit Betke , Sarah Bargal
UnderWater SLAM with Laser-light sectioning method using ST-GAT	Heyang Gao , Kazuto Ichimaru , Takafumi Iwaguchi , Hiroshi Kawasaki
START: Spatial and Textual Learning for Chart Understanding	Zhuoming Liu , Xiaofeng Gao , Feiyang Niu , Qiaozi Gao , Liu Liu , Robinson Piramuthu
Co-STAR: Collaborative Curriculum Self-Training with Adaptive Regularization for Source-Free Video Domain Adaptation	Amirhossein Dadashzadeh , Parsa Esmati , Majid Mirmehdi
PDV: Prompt Directional Vectors for Zero-shot Composed Image Retrieval	Osman Tursun , Sinan Kalkan , Simon Denman , Clinton Fookes
How to Design and Train Your Implicit Neural Representation for Video Compression	Matthew Gwilliam , Roy Zhang , Namitha Padmanabhan , Hongyang Du , Abhinav Shrivastava
Chain-of-Look Spatial Reasoning for Dense Surgical Instrument Counting	Rishikesh Bhyri , Brian Quaranto , Junsong Yuan , Peter Kim , Nan Xi
Global Focal and Radial Distortion Averaging from Radial Fundamental Matrices for Robust Self-Calibration	Sergei Solonets , Daniil Sinitsyn , Daniel Cremers
Hymavi : A Hybrid Mamba-Attention Network in Multi-View Framework for Volumetric Medical Image Segmentation	Sy Tran , Jin Kyu Gahm
OpenLVLM-MIA: A Controlled Benchmark Revealing the Limits of Membership Inference Attacks on Large Vision-Language Models	Miyamoto Ryoto , Xin Fan , Fuyuko Kido , Tsuneo Matsumoto , Hayato Yamana
Beyond Faces: A Multimodal Person Clustering for Unconstrained Environments	Sahngmin Yoo , Sangwon Lee , Seongin Jo
Fetal and Neonatal Cortical Surface Reconstruction with Anatomical Normal-guidance and Perceptual Enhancements	Jiyang Lee , Woori Bae , U-Geun Ji , Hanyeol Yang , Jong-Min Lee
Mitigating the Modality Gap: Few-Shot Out-of-Distribution Detection with Multi-modal Prototypes and Image Bias Estimation	Yimu Wang , Evelien Riddell , Adrian Chow , Sean Sedwards , Krzysztof Czarnecki
SPOC: Spatially-Progressing Object State Change Segmentation in Video	Priyanka Mandikal , Tushar Nagarajan , Alex Stoken , Zihui Xue , Kristen Grauman
