Title	Authors
MIX-based Foreground and Background Patch Augmentation Guided by Physics and Material Properties for X-ray Detection	Xintong Liu , Dongliang Chang , Yujun Tong , Zhanyu Ma
Controllable Long-term Motion Generation with Extended Joint Targets	Eunjong Lee , Eunhee Kim , Sanghoon Hong , Eunho Jung , Jihoon Kim
MuSACo: Multimodal Subject-Specific Selection and Adaptation for Expression Recognition with Co-Training	Muhammad Osama Zeeshan , Natacha Gillet , Alessandro Lameiras Koerich , Marco Pedersoli , Francois Bremond , Eric Granger
A Deep Network for Object Detection on Inland Waters	Dennis Griesser , Bastian Goldluecke , Matthias Franz , Georg Umlauf
Unsupervised Memorability Modeling from Tip-of-the-Tongue Retrieval Queries	Sree Bhattacharyya , Yaman Singla , Sudhir Yarram , Somesh Singh , Harini S I , James Wang
VAST-ReID: A Low-Light Benchmark Dataset for Person Re-Identification with Visual and Attribute-Rich Semantic Tracking	Hammad Khan , Rakesh Giri , Kamalakar Thakare , Heeseung Choi , Hyungjoo Jung , Debi Dogra , Ig-Jae Kim
One-Shot Fine-Grained Re-Identification of Paint Marked Honey Bees using Vision Foundation Models	Luke Meyers , Josué A. Rodríguez-Cordero , Remi Megret
Automated Suturing Skill Assessment in Robot-assisted Surgery from Endoscopic Videos using Clinically-guided Evaluation Criteria	Atharva Deo , Ujjwal Pasupulety , Nicholas Matsumoto , Jay Moran , Cherine Yang , Jeanine Kim , Rafal Kocielnik , Aurash Naser-Tavakolian , Andrew Hung
Enhancing Reverse Distillation with Core Exemplar Learning for Unified Multi-Class Anomaly Detection	Heechul Lim , Min-Soo Kim , Hyun-Boo Lee , Suk-Ju Kang , Kang-Wook Chon , Haeyun Lee
Enhancing Vision Language Corruption Robustness using Cross Distribution & Prompted Denoisers	Sameer Shafayet Latif , Sadab Shiper , K. Kiran , Md Ishmam , MD HOSSAIN , Abu Kamal , Md. Ashmafee
FCC: Fully Connected Correlation for One-Shot Segmentation	Seonghyeon Moon , Haein Kong , Muhammad Haris Khan , Mubbasir Kapadia , Yuewei Lin
UI-Styler: Ultrasound Image Style Transfer with Class-Aware Prompts for Cross-Device Diagnosis Using a Frozen Black-Box Inference Network	Nhat-Tuong Do-Tran , Ngoc-Hoang-Lam Le , Ching-Chun Huang
ISALux: Illumination and Semantics-Aware Transformer Employing Mixture of Experts for Low Light Image Enhancement	Raul Balmez , Alexandru Brateanu , Ciprian Orhei , Codruta Ancuti , Cosmin Ancuti
KMOPS: Keypoint-Driven Method for Multi-Object Pose and Metric Size Estimation from Stereo Images	Ying-Kun Wu , Yi Shen , Tzuhsuan Huang , I-Sheng Fang , Jun-Cheng Chen
Learning Unified Spatio-temporal Representations for Efficient Compressed Video Understanding	Shristi Biswas Biswas , Efstathia Soufleri , Arani Roy , Kaushik Roy
HiGlassRM: Learning to Remove High-prescription Glasses via Synthetic Dataset Generation	Sebin Lee , Heewon Kim
Enhancing Object Detection Training via Joint Image-Annotation Generation	Roy Uziel , Oded Bialer
